,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,role_group,salary_avg,salary_group
1,50-54,Man,India,Bachelor’s degree,Other,5-10 years,2,5-10 years,Manufacturing/Fabrication,50-249 employees,3-4,25000-29999,India,Medium,Small,Other,27500.0,between 10k and 30k
2,50-54,Man,Indonesia,Master’s degree,Program/Project Manager,20+ years,4,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",1-2,60000-69999,Other,Large,Small,Data Analyst,65000.0,between 50k and 80k
3,22-24,Man,Pakistan,Master’s degree,Software Engineer,1-3 years,3,No experience,Academics/Education,"1000-9,999 employees",0,0-999,Other,Large,No team,Data Engineer,500.0,less than 10k
4,45-49,Man,Mexico,Doctoral degree,Research Scientist,20+ years,1,5-10 years,Academics/Education,"1000-9,999 employees",0,30000-39999,Other,Large,No team,Data Scientist,35000.0,between 30k and 50k
5,45-49,Man,India,Doctoral degree,Other,< 1 years,3,10-20 years,Academics/Education,50-249 employees,5-9,30000-39999,India,Medium,Small,Other,35000.0,between 30k and 50k
8,30-34,Man,India,Bachelor’s degree,Data Scientist,5-10 years,1,2-3 years,Computers/Technology,"10,000 or more employees",3-4,15000-19999,India,Large,Small,Data Scientist,17500.0,between 10k and 30k
10,30-34,Man,Turkey,I prefer not to answer,Other,1-3 years,2,Under 1 year,Manufacturing/Fabrication,50-249 employees,1-2,0-999,Other,Medium,Small,Other,500.0,less than 10k
11,40-44,Man,Australia,Doctoral degree,Other,1-3 years,3,No experience,Other,0-49 employees,0,70000-79999,Other,Small,No team,Other,75000.0,between 50k and 80k
14,45-49,Man,Nigeria,Master’s degree,Program/Project Manager,5-10 years,2,1-2 years,Shipping/Transportation,"1000-9,999 employees",10-14,2000-2999,Other,Large,Medium,Data Analyst,2500.0,less than 10k
15,22-24,Man,Nigeria,Bachelor’s degree,Other,< 1 years,1,Under 1 year,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,Other,500.0,less than 10k
16,35-39,Man,Greece,Doctoral degree,Research Scientist,10-20 years,4,4-5 years,Academics/Education,50-249 employees,5-9,10000-14999,Europe,Medium,Small,Data Scientist,12500.0,between 10k and 30k
17,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,20+ years,2,1-2 years,Energy/Mining,"1000-9,999 employees",5-9,2000-2999,Europe,Large,Small,Data Analyst,2500.0,less than 10k
18,18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,3-4,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
20,30-34,Man,Egypt,Bachelor’s degree,Other,< 1 years,1,No experience,Shipping/Transportation,"10,000 or more employees",5-9,5000-7499,Other,Large,Small,Other,6250.0,less than 10k
22,25-29,Woman,Turkey,Bachelor’s degree,Data Scientist,3-5 years,4,Under 1 year,Computers/Technology,"10,000 or more employees",20+,1000-1999,Other,Large,Large,Data Scientist,1500.0,less than 10k
24,35-39,Man,Brazil,Master’s degree,Machine Learning Engineer,20+ years,3,5-10 years,Computers/Technology,0-49 employees,1-2,100000-124999,Other,Small,Small,Data Engineer,112500.0,between 80k and 125k
26,25-29,Woman,Poland,Master’s degree,Machine Learning Engineer,3-5 years,2,Under 1 year,Computers/Technology,0-49 employees,3-4,25000-29999,Europe,Small,Small,Data Engineer,27500.0,between 10k and 30k
27,45-49,Man,Brazil,Doctoral degree,Research Scientist,< 1 years,2,Under 1 year,Academics/Education,50-249 employees,0,0-999,Other,Medium,No team,Data Scientist,500.0,less than 10k
29,22-24,Woman,Iran,Bachelor’s degree,Data Scientist,3-5 years,1,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,Data Scientist,500.0,less than 10k
31,22-24,Man,India,Bachelor’s degree,Other,1-3 years,1,No experience,Computers/Technology,"1000-9,999 employees",0,7500-9999,India,Large,No team,Other,8750.0,less than 10k
32,30-34,Man,India,Master’s degree,Data Scientist,5-10 years,3,5-10 years,Insurance/Risk Assessment,250-999 employees,20+,100000-124999,India,Large,Large,Data Scientist,112500.0,between 80k and 125k
33,22-24,Other,USA,Some college,Data Analyst,< 1 years,1,No experience,Manufacturing/Fabrication,250-999 employees,3-4,nan,USA,Large,Small,Data Analyst,39176.716266486306,more than 125k
34,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,3-5 years,1,No experience,Non-profit/Service,0-49 employees,0,7500-9999,Other,Small,No team,Data Analyst,8750.0,less than 10k
39,22-24,Man,Japan,High school,Software Engineer,3-5 years,4,No experience,Computers/Technology,0-49 employees,0,2000-2999,Other,Small,No team,Data Engineer,2500.0,less than 10k
41,25-29,Man,Brazil,Master’s degree,Data Scientist,5-10 years,2,2-3 years,Insurance/Risk Assessment,"10,000 or more employees",10-14,nan,Other,Large,Medium,Data Scientist,39176.716266486306,more than 125k
42,25-29,Man,Italy,Master’s degree,Other,1-3 years,2,Under 1 year,Energy/Mining,0-49 employees,1-2,30000-39999,Europe,Small,Small,Other,35000.0,between 30k and 50k
43,55-59,Man,USA,Master’s degree,Software Engineer,10-20 years,3,3-4 years,Computers/Technology,0-49 employees,3-4,15000-19999,USA,Small,Small,Data Engineer,17500.0,between 10k and 30k
44,30-34,Woman,Viet Nam,Master’s degree,Machine Learning Engineer,1-3 years,1,1-2 years,Academics/Education,50-249 employees,1-2,4000-4999,Other,Medium,Small,Data Engineer,4500.0,less than 10k
46,40-44,Man,Israel,Master’s degree,Data Scientist,3-5 years,3,1-2 years,Accounting/Finance,50-249 employees,5-9,100000-124999,Other,Medium,Small,Data Scientist,112500.0,between 80k and 125k
47,22-24,Man,China,Some college,Data Analyst,< 1 years,7,1-2 years,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,Data Analyst,500.0,less than 10k
49,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,6,2-3 years,Hospitality/Entertainment/Sports,"10,000 or more employees",3-4,1000-1999,India,Large,Small,Data Engineer,1500.0,less than 10k
50,30-34,Woman,USA,Master’s degree,Data Scientist,5-10 years,2,4-5 years,Other,"10,000 or more employees",10-14,100000-124999,USA,Large,Medium,Data Scientist,112500.0,between 80k and 125k
52,40-44,Man,USA,Bachelor’s degree,Research Scientist,< 1 years,1,No experience,Manufacturing/Fabrication,"1000-9,999 employees",1-2,70000-79999,USA,Large,Small,Data Scientist,75000.0,between 50k and 80k
53,40-44,Man,South Africa,Master’s degree,Data Analyst,1-3 years,2,1-2 years,Manufacturing/Fabrication,250-999 employees,1-2,25000-29999,Other,Large,Small,Data Analyst,27500.0,between 10k and 30k
54,40-44,Man,Other,Master’s degree,Business Analyst,1-3 years,3,1-2 years,Accounting/Finance,50-249 employees,0,60000-69999,Other,Medium,No team,Data Analyst,65000.0,between 50k and 80k
56,22-24,Woman,Bangladesh,Bachelor’s degree,Software Engineer,5-10 years,2,2-3 years,Computers/Technology,250-999 employees,10-14,7500-9999,Other,Large,Medium,Data Engineer,8750.0,less than 10k
58,35-39,Woman,Russia,I prefer not to answer,Data Scientist,1-3 years,2,No experience,Academics/Education,"1000-9,999 employees",3-4,0-999,Europe,Large,Small,Data Scientist,500.0,less than 10k
59,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,3,1-2 years,Computers/Technology,50-249 employees,20+,0-999,India,Medium,Large,Data Engineer,500.0,less than 10k
60,35-39,Man,India,Bachelor’s degree,Program/Project Manager,1-3 years,2,1-2 years,Government/Public Service,"10,000 or more employees",0,2000-2999,India,Large,No team,Data Analyst,2500.0,less than 10k
62,18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,2,Under 1 year,Computers/Technology,0-49 employees,0,0-999,Europe,Small,No team,Data Engineer,500.0,less than 10k
63,30-34,Man,Japan,Master’s degree,Data Scientist,1-3 years,3,4-5 years,Online Service/Internet-based Services,250-999 employees,5-9,40000-49999,Other,Large,Small,Data Scientist,45000.0,between 30k and 50k
66,40-44,Man,Russia,Doctoral degree,Data Engineer,1-3 years,4,1-2 years,Accounting/Finance,0-49 employees,10-14,0-999,Europe,Small,Medium,Data Engineer,500.0,less than 10k
67,30-34,Other,China,I prefer not to answer,Data Analyst,< 1 years,1,Under 1 year,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,Data Analyst,500.0,less than 10k
68,30-34,Man,Other,Master’s degree,Business Analyst,1-3 years,1,1-2 years,Online Service/Internet-based Services,"1000-9,999 employees",1-2,7500-9999,Other,Large,Small,Data Analyst,8750.0,less than 10k
69,35-39,Man,India,Bachelor’s degree,Other,< 1 years,2,1-2 years,Online Business/Internet-based Sales,0-49 employees,1-2,2000-2999,India,Small,Small,Other,2500.0,less than 10k
70,40-44,Man,UK,Master’s degree,Other,20+ years,2,Under 1 year,Online Service/Internet-based Services,250-999 employees,5-9,50000-59999,Europe,Large,Small,Other,55000.0,between 50k and 80k
