,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,salary_avg,salary_group,role_group
1,50-54,Man,India,Bachelor’s degree,Other,5-10 years,2,5-10 years,Manufacturing/Fabrication,50-249 employees,3-4,25000-29999,India,Medium,Small,27500.0,between 10k and 30k,Other
2,50-54,Man,Indonesia,Master’s degree,Program/Project Manager,20+ years,4,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",1-2,60000-69999,Other,Large,Small,65000.0,between 50k and 80k,Data Analyst
3,22-24,Man,Pakistan,Master’s degree,Software Engineer,1-3 years,3,No experience,Academics/Education,"1000-9,999 employees",0,0-999,Other,Large,No team,500.0,less than 10k,Data Engineer
4,45-49,Man,Mexico,Doctoral degree,Research Scientist,20+ years,1,5-10 years,Academics/Education,"1000-9,999 employees",0,30000-39999,Other,Large,No team,35000.0,between 30k and 50k,Data Scientist
5,45-49,Man,India,Doctoral degree,Other,< 1 years,3,10-20 years,Academics/Education,50-249 employees,5-9,30000-39999,India,Medium,Small,35000.0,between 30k and 50k,Other
8,30-34,Man,India,Bachelor’s degree,Data Scientist,5-10 years,1,2-3 years,Computers/Technology,"10,000 or more employees",3-4,15000-19999,India,Large,Small,17500.0,between 10k and 30k,Data Scientist
10,30-34,Man,Turkey,I prefer not to answer,Other,1-3 years,2,Under 1 year,Manufacturing/Fabrication,50-249 employees,1-2,0-999,Other,Medium,Small,500.0,less than 10k,Other
11,40-44,Man,Australia,Doctoral degree,Other,1-3 years,3,No experience,Other,0-49 employees,0,70000-79999,Other,Small,No team,75000.0,between 50k and 80k,Other
14,45-49,Man,Nigeria,Master’s degree,Program/Project Manager,5-10 years,2,1-2 years,Shipping/Transportation,"1000-9,999 employees",10-14,2000-2999,Other,Large,Medium,2500.0,less than 10k,Data Analyst
15,22-24,Man,Nigeria,Bachelor’s degree,Other,< 1 years,1,Under 1 year,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Other
