,country,experience_ml,age,role_group,gender,salary_avg
0,Greece,4-5 years,35-39,Data Scientist,Man,12500.0
1,Belgium,1-2 years,50-54,Data Analyst,Man,2500.0
2,Poland,Under 1 year,25-29,Data Engineer,Woman,27500.0
3,Italy,Under 1 year,25-29,Other,Man,35000.0
4,Russia,No experience,35-39,Data Scientist,Woman,500.0
5,Russia,Under 1 year,18-21,Data Engineer,Man,500.0
6,Russia,1-2 years,40-44,Data Engineer,Man,500.0
7,UK,Under 1 year,40-44,Other,Man,55000.0
8,France,2-3 years,40-44,Data Scientist,Man,3500.0
9,Italy,3-4 years,40-44,Data Engineer,Man,45000.0
10,France,No experience,35-39,Data Engineer,Man,27500.0
11,Poland,1-2 years,45-49,Other,Man,55000.0
12,Poland,5-10 years,30-34,Data Scientist,Man,35000.0
13,France,No experience,40-44,Data Scientist,Man,45000.0
14,Sweden,Under 1 year,30-34,Data Scientist,Man,55000.0
15,UK,2-3 years,40-44,Data Engineer,Man,85000.0
16,Spain,No experience,30-34,Data Engineer,Man,27500.0
17,Austria,Under 1 year,45-49,Data Analyst,Man,137500.0
18,Sweden,4-5 years,30-34,Data Scientist,Woman,65000.0
19,Russia,Under 1 year,40-44,Data Analyst,Man,27500.0
20,Russia,No experience,30-34,Data Engineer,Man,17500.0
21,France,1-2 years,22-24,Data Scientist,Man,12500.0
22,Ireland,4-5 years,35-39,Data Scientist,Woman,65000.0
23,Portugal,Under 1 year,45-49,Other,Man,12500.0
24,Austria,No experience,50-54,Data Engineer,Man,75000.0
25,Sweden,1-2 years,45-49,Data Engineer,Man,39176.71626648631
26,France,Under 1 year,35-39,Data Scientist,Man,65000.0
27,Spain,1-2 years,25-29,Data Engineer,Man,35000.0
28,Ukraine,3-4 years,22-24,Data Analyst,Man,500.0
29,Denmark,5-10 years,30-34,Data Scientist,Man,112500.0
30,Germany,Under 1 year,45-49,Data Analyst,Man,112500.0
31,Russia,No experience,35-39,Other,Man,22500.0
32,Germany,3-4 years,25-29,Data Scientist,Other,55000.0
33,UK,2-3 years,30-34,Data Engineer,Man,75000.0
34,France,1-2 years,25-29,Data Scientist,Man,39176.71626648631
35,Sweden,2-3 years,35-39,Data Scientist,Man,4500.0
36,France,No experience,40-44,Data Scientist,Man,45000.0
37,Russia,1-2 years,45-49,Data Analyst,Man,500.0
38,Italy,Under 1 year,25-29,Data Analyst,Woman,1500.0
39,Portugal,1-2 years,50-54,Data Scientist,Man,27500.0
40,Netherlands,20 or more years,55-59,Data Scientist,Man,75000.0
41,Poland,No experience,22-24,Data Analyst,Man,1500.0
42,Spain,1-2 years,25-29,Data Engineer,Woman,39176.71626648631
43,Spain,1-2 years,50-54,Data Analyst,Man,65000.0
44,Greece,5-10 years,35-39,Data Scientist,Man,17500.0
45,Russia,Under 1 year,25-29,Data Scientist,Man,17500.0
46,UK,No experience,22-24,Data Engineer,Man,2500.0
47,Spain,No experience,22-24,Other,Man,500.0
48,UK,Under 1 year,30-34,Data Analyst,Woman,22500.0
49,Austria,3-4 years,25-29,Data Scientist,Man,95000.0
50,Russia,Under 1 year,22-24,Data Engineer,Man,3500.0
51,Sweden,1-2 years,55-59,Data Analyst,Man,75000.0
52,UK,No experience,30-34,Data Scientist,Man,39176.71626648631
53,Italy,Under 1 year,30-34,Data Engineer,Woman,2500.0
54,Italy,2-3 years,45-49,Data Scientist,Man,45000.0
55,Russia,3-4 years,25-29,Data Scientist,Man,4500.0
56,Germany,Under 1 year,22-24,Data Engineer,Man,500.0
57,Italy,Under 1 year,30-34,Data Engineer,Man,35000.0
58,UK,No experience,35-39,Data Engineer,Woman,45000.0
59,Russia,Under 1 year,25-29,Data Analyst,Man,39176.71626648631
60,Russia,No experience,40-44,Data Engineer,Man,12500.0
61,Russia,3-4 years,35-39,Data Scientist,Man,4500.0
62,Poland,No experience,50-54,Data Analyst,Man,39176.71626648631
63,UK,2-3 years,30-34,Data Scientist,Woman,17500.0
64,Russia,Under 1 year,30-34,Data Analyst,Man,17500.0
65,Switzerland,No experience,35-39,Other,Man,112500.0
66,Spain,2-3 years,22-24,Data Scientist,Man,27500.0
67,UK,Under 1 year,40-44,Data Analyst,Man,45000.0
68,Russia,Under 1 year,30-34,Data Analyst,Man,35000.0
69,Spain,3-4 years,22-24,Data Engineer,Man,27500.0
70,Belgium,3-4 years,40-44,Data Analyst,Man,2500.0
