,age,gender,country,education,programming_lang_c,experience_ml,industry,company_size_g,salary_avg,role_group
0,50-54,Man,India,Bachelor’s degree,2,5-10 years,Manufacturing/Fabrication,Medium,27500.0,Other
4,45-49,Man,India,Doctoral degree,3,10-20 years,Academics/Education,Medium,35000.0,Other
5,30-34,Man,India,Bachelor’s degree,1,2-3 years,Computers/Technology,Large,17500.0,Data Scientist
10,35-39,Man,Greece,Doctoral degree,4,4-5 years,Academics/Education,Medium,12500.0,Data Scientist
11,50-54,Man,Belgium,Bachelor’s degree,2,1-2 years,Energy/Mining,Large,2500.0,Data Analyst
16,25-29,Woman,Poland,Master’s degree,2,Under 1 year,Computers/Technology,Small,27500.0,Data Engineer
19,22-24,Man,India,Bachelor’s degree,1,No experience,Computers/Technology,Large,8750.0,Other
20,30-34,Man,India,Master’s degree,3,5-10 years,Insurance/Risk Assessment,Large,112500.0,Data Scientist
23,25-29,Man,Italy,Master’s degree,2,Under 1 year,Energy/Mining,Small,35000.0,Other
24,55-59,Man,USA,Master’s degree,3,3-4 years,Computers/Technology,Small,17500.0,Data Engineer
29,30-34,Woman,USA,Master’s degree,2,4-5 years,Other,Large,112500.0,Data Scientist
30,40-44,Man,USA,Bachelor’s degree,1,No experience,Manufacturing/Fabrication,Large,75000.0,Data Scientist
34,35-39,Woman,Russia,I prefer not to answer,2,No experience,Academics/Education,Large,500.0,Data Scientist
35,18-21,Man,India,Bachelor’s degree,3,1-2 years,Computers/Technology,Medium,500.0,Data Engineer
36,35-39,Man,India,Bachelor’s degree,2,1-2 years,Government/Public Service,Large,2500.0,Data Analyst
37,18-21,Man,Russia,Bachelor’s degree,2,Under 1 year,Computers/Technology,Small,500.0,Data Engineer
39,40-44,Man,Russia,Doctoral degree,4,1-2 years,Accounting/Finance,Small,500.0,Data Engineer
42,35-39,Man,India,Bachelor’s degree,2,1-2 years,Online Business/Internet-based Sales,Small,2500.0,Other
43,40-44,Man,UK,Master’s degree,2,Under 1 year,Online Service/Internet-based Services,Large,55000.0,Other
47,40-44,Man,France,Doctoral degree,3,2-3 years,Manufacturing/Fabrication,Small,3500.0,Data Scientist
52,30-34,Man,India,Master’s degree,1,No experience,Computers/Technology,Large,22500.0,Data Analyst
54,25-29,Man,USA,Master’s degree,2,1-2 years,Online Service/Internet-based Services,Large,75000.0,Data Scientist
57,30-34,Man,USA,Master’s degree,2,Under 1 year,Accounting/Finance,Large,65000.0,Data Analyst
58,55-59,Man,USA,Bachelor’s degree,2,No experience,Medical/Pharmaceutical,Large,75000.0,Other
59,18-21,Man,India,Bachelor’s degree,3,Under 1 year,Academics/Education,Small,500.0,Data Scientist
60,25-29,Man,India,Master’s degree,1,1-2 years,Academics/Education,Large,12500.0,Data Engineer
61,40-44,Man,Italy,Master’s degree,4,3-4 years,Non-profit/Service,Small,45000.0,Data Engineer
62,25-29,Man,India,Master’s degree,2,No experience,Computers/Technology,Large,8750.0,Data Engineer
63,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,1500.0,Data Analyst
65,40-44,Woman,USA,Master’s degree,1,4-5 years,Academics/Education,Medium,27500.0,Other
66,35-39,Man,France,Doctoral degree,4,No experience,Online Service/Internet-based Services,Small,27500.0,Data Engineer
69,22-24,Man,India,Bachelor’s degree,3,Under 1 year,Manufacturing/Fabrication,Large,1500.0,Data Analyst
70,45-49,Man,Poland,Master’s degree,1,1-2 years,Insurance/Risk Assessment,Large,55000.0,Other
73,40-44,Man,India,Master’s degree,4,5-10 years,Computers/Technology,Large,65000.0,Data Analyst
