,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary
1,50-54,Man,India,Bachelor’s degree,Other,5-10 years,2,5-10 years,Manufacturing/Fabrication,50-249 employees,3-4,"25,000-29,999"
2,50-54,Man,Indonesia,Master’s degree,Program/Project Manager,20+ years,4,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",1-2,"60,000-69,999"
3,22-24,Man,Pakistan,Master’s degree,Software Engineer,1-3 years,3,No experience,Academics/Education,"1000-9,999 employees",0,0-999
4,45-49,Man,Mexico,Doctoral degree,Research Scientist,20+ years,1,5-10 years,Academics/Education,"1000-9,999 employees",0,"30,000-39,999"
5,45-49,Man,India,Doctoral degree,Other,< 1 years,3,10-20 years,Academics/Education,50-249 employees,5-9,"30,000-39,999"
6,25-29,Woman,India,I prefer not to answer,Currently not employed,< 1 years,1,Under 1 year,,,,nan
7,18-21,Woman,India,Some college no bachelor,Student,1-3 years,3,Under 1 year,,,,nan
8,30-34,Man,India,Bachelor’s degree,Data Scientist,5-10 years,1,2-3 years,Computers/Technology,"10,000 or more employees",3-4,"15,000-19,999"
9,22-24,Man,Russia,Bachelor’s degree,Currently not employed,3-5 years,2,Under 1 year,,,,nan
10,30-34,Man,Turkey,I prefer not to answer,Other,1-3 years,2,Under 1 year,Manufacturing/Fabrication,50-249 employees,1-2,0-999
11,40-44,Man,Australia,Doctoral degree,Other,1-3 years,3,No experience,Other,0-49 employees,0,"70,000-79,999"
12,18-21,Woman,India,Master’s degree,Student,< 1 years,3,Under 1 year,,,,nan
13,18-21,Woman,India,Master’s degree,Student,< 1 years,2,,,,,nan
14,45-49,Man,Nigeria,Master’s degree,Program/Project Manager,5-10 years,2,1-2 years,Shipping/Transportation,"1000-9,999 employees",10-14,"2,000-2,999"
15,22-24,Man,Nigeria,Bachelor’s degree,Other,< 1 years,1,Under 1 year,Academics/Education,0-49 employees,1-2,0-999
16,35-39,Man,Greece,Doctoral degree,Research Scientist,10-20 years,4,4-5 years,Academics/Education,50-249 employees,5-9,"10,000-14,999"
17,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,20+ years,2,1-2 years,Energy/Mining,"1000-9,999 employees",5-9,"2,000-2,999"
18,18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,3-4,0-999
19,22-24,Man,Japan,Master’s degree,Software Engineer,3-5 years,5,2-3 years,,,,nan
20,30-34,Man,Egypt,Bachelor’s degree,Other,< 1 years,1,No experience,Shipping/Transportation,"10,000 or more employees",5-9,"5,000-7,499"
21,70+,Man,Singapore,Bachelor’s degree,Other,< 1 years,1,No experience,Manufacturing/Fabrication,250-999 employees,5-9,"20,000-24,999"
