,age,gender,education,experience_prog,experience_ml,industry,team_size,salary,country_group,company_size_g,role_group,programming_lang_c,salary_avg
0,7,0,0,4,6,8,5,10,1,1,3,2,27500.0
1,7,0,4,2,8,8,1,20,2,0,0,4,65000.0
2,1,0,4,0,7,0,0,0,2,0,1,3,500.0
3,6,0,1,2,6,0,0,13,2,0,2,1,35000.0
4,6,0,1,5,1,0,6,13,1,1,3,3,35000.0
5,3,0,0,4,2,3,5,5,1,0,2,1,17500.0
6,3,0,3,0,8,8,1,0,2,1,3,2,500.0
7,5,0,1,0,7,15,0,21,2,2,3,3,75000.0
8,6,0,4,4,0,17,2,7,2,0,0,2,2500.0
9,1,0,0,5,8,0,1,0,2,2,3,1,500.0
10,4,0,1,1,5,0,6,2,0,1,2,4,12500.0
11,7,0,0,2,0,4,6,7,0,0,0,2,2500.0
12,0,0,0,0,8,0,5,0,2,2,2,2,500.0
13,3,0,0,5,7,17,6,17,2,0,3,1,6250.0
14,10,0,0,5,7,8,6,8,2,0,3,1,22500.0
15,2,2,0,3,8,3,4,1,2,0,2,4,1500.0
16,4,0,4,2,6,3,1,3,2,2,1,3,112500.0
17,2,2,4,3,8,3,5,10,0,2,1,2,27500.0
18,6,0,1,5,8,0,0,0,2,1,2,2,500.0
19,1,2,0,3,8,0,0,0,2,2,2,1,500.0
20,1,0,0,0,7,3,0,22,1,0,3,1,8750.0
21,3,0,4,4,6,7,4,3,1,0,2,3,112500.0
22,3,2,0,3,7,12,0,22,2,2,0,1,8750.0
23,1,0,2,3,7,3,0,7,2,2,1,4,2500.0
24,2,0,4,0,8,4,1,13,0,2,3,2,35000.0
25,8,0,4,1,4,3,5,5,3,2,1,3,17500.0
26,3,2,4,0,0,0,1,15,2,1,1,1,4500.0
27,5,0,4,3,0,1,6,3,2,1,2,3,112500.0
28,1,0,6,5,0,3,0,0,2,2,0,7,500.0
29,2,0,0,3,2,6,5,1,1,0,1,6,1500.0
30,3,2,4,4,5,15,2,3,3,0,2,2,112500.0
31,5,0,0,5,7,8,1,21,3,0,2,1,75000.0
32,5,0,4,0,0,8,1,10,2,0,0,2,27500.0
33,5,0,4,0,0,1,0,20,2,1,0,3,65000.0
34,1,2,0,4,2,3,2,22,2,0,1,2,8750.0
35,4,2,3,0,7,0,5,0,0,0,2,2,500.0
36,0,0,0,0,0,3,4,0,1,1,1,3,500.0
37,4,0,0,0,0,5,0,7,1,0,0,2,2500.0
38,0,0,0,3,8,3,0,0,0,2,1,2,500.0
39,3,0,4,0,5,14,6,16,2,0,2,3,45000.0
40,5,0,1,0,0,1,2,0,0,2,1,4,500.0
41,3,1,3,5,8,3,0,0,2,2,0,1,500.0
42,3,0,4,0,0,14,1,22,2,0,0,1,8750.0
43,4,0,0,5,0,13,1,7,1,2,3,2,2500.0
44,5,0,4,2,8,14,6,18,0,0,3,2,55000.0
45,1,0,6,3,8,13,0,17,2,2,3,2,6250.0
46,3,2,4,4,7,3,4,12,2,0,1,2,3500.0
47,6,0,4,2,0,0,6,12,2,0,0,2,3500.0
48,5,0,1,3,2,8,1,12,0,2,2,3,3500.0
49,7,0,4,2,7,3,1,14,3,0,1,2,400000.0
50,1,0,4,5,8,1,4,8,2,0,0,1,22500.0
51,4,0,5,1,6,10,4,9,3,0,2,6,225000.0
52,3,0,4,4,4,3,1,18,2,1,1,5,55000.0
53,3,0,4,0,7,3,4,8,1,0,0,1,22500.0
54,2,0,4,4,5,16,4,8,2,0,2,3,22500.0
55,2,0,4,0,0,14,6,21,3,0,2,2,75000.0
56,8,0,0,2,6,15,4,4,3,1,1,5,137500.0
57,2,2,4,5,8,1,2,2,2,0,2,2,12500.0
58,3,0,4,0,8,1,4,20,3,0,0,2,65000.0
59,8,0,0,0,7,10,6,21,3,0,3,2,75000.0
60,0,0,0,5,8,0,0,0,1,2,2,3,500.0
61,2,0,4,0,0,0,4,2,1,0,1,1,12500.0
62,5,0,4,2,4,12,0,16,0,2,1,4,45000.0
63,2,0,4,0,7,3,6,22,1,0,1,2,8750.0
64,1,0,0,5,8,3,1,1,1,0,0,1,1500.0
65,2,0,0,0,8,0,1,15,2,2,2,3,4500.0
66,5,2,4,4,5,0,6,10,3,1,3,1,27500.0
67,4,0,1,1,7,14,0,10,0,2,1,4,27500.0
