,age,gender,country,education,experience_prog,programming_lang_c,experience_ml,industry,company_size_g,team_size_g,role_group,salary_avg
10,35-39,Man,Greece,Doctoral degree,10-20 years,4,4-5 years,Academics/Education,Medium,Small,Data Scientist,12500.0
11,50-54,Man,Belgium,Bachelor’s degree,20+ years,2,1-2 years,Energy/Mining,Large,Small,Data Analyst,2500.0
16,25-29,Woman,Poland,Master’s degree,3-5 years,2,Under 1 year,Computers/Technology,Small,Small,Data Engineer,27500.0
25,25-29,Man,Italy,Master’s degree,1-3 years,2,Under 1 year,Energy/Mining,Small,Small,Other,35000.0
36,35-39,Woman,Russia,I prefer not to answer,1-3 years,2,No experience,Academics/Education,Large,Small,Data Scientist,500.0
39,18-21,Man,Russia,Bachelor’s degree,3-5 years,2,Under 1 year,Computers/Technology,Small,No team,Data Engineer,500.0
41,40-44,Man,Russia,Doctoral degree,1-3 years,4,1-2 years,Accounting/Finance,Small,Medium,Data Engineer,500.0
45,40-44,Man,UK,Master’s degree,20+ years,2,Under 1 year,Online Service/Internet-based Services,Large,Small,Other,55000.0
49,40-44,Man,France,Doctoral degree,3-5 years,3,2-3 years,Manufacturing/Fabrication,Small,Small,Data Scientist,3500.0
63,40-44,Man,Italy,Master’s degree,20+ years,4,3-4 years,Non-profit/Service,Small,No team,Data Engineer,45000.0
68,35-39,Man,France,Doctoral degree,10-20 years,4,No experience,Online Service/Internet-based Services,Small,No team,Data Engineer,27500.0
73,45-49,Man,Poland,Master’s degree,1-3 years,1,1-2 years,Insurance/Risk Assessment,Large,Large,Other,55000.0
79,30-34,Man,Poland,Master’s degree,20+ years,2,5-10 years,Medical/Pharmaceutical,Medium,Large,Data Scientist,35000.0
80,40-44,Man,France,Doctoral degree,5-10 years,4,No experience,Academics/Education,Medium,Small,Data Scientist,45000.0
83,30-34,Man,Sweden,Doctoral degree,5-10 years,2,Under 1 year,Academics/Education,Large,No team,Data Scientist,55000.0
92,40-44,Man,UK,Bachelor’s degree,10-20 years,3,2-3 years,Non-profit/Service,Large,Large,Data Engineer,85000.0
97,30-34,Man,Spain,Some college,< 1 years,2,No experience,Computers/Technology,Medium,Small,Data Engineer,27500.0
101,45-49,Man,Austria,Master’s degree,5-10 years,3,Under 1 year,Insurance/Risk Assessment,Large,Small,Data Analyst,137500.0
115,30-34,Woman,Sweden,Doctoral degree,5-10 years,2,4-5 years,Marketing/CRM,Medium,Medium,Data Scientist,65000.0
117,40-44,Man,Russia,Bachelor’s degree,1-3 years,1,Under 1 year,Shipping/Transportation,Small,Small,Data Analyst,27500.0
120,30-34,Man,Russia,Bachelor’s degree,5-10 years,3,No experience,Broadcasting/Communications,Small,No team,Data Engineer,17500.0
