,age,gender,country,education,experience_prog,programming_lang_c,experience_ml,industry,team_size_g,salary_avg,role_group
10,35-39,Man,Greece,Doctoral degree,10-20 years,4,4-5 years,Academics/Education,Small,12500.0,Data Scientist
11,50-54,Man,Belgium,Bachelor’s degree,20+ years,2,1-2 years,Energy/Mining,Small,2500.0,Data Analyst
16,25-29,Woman,Poland,Master’s degree,3-5 years,2,Under 1 year,Computers/Technology,Small,27500.0,Data Engineer
23,25-29,Man,Italy,Master’s degree,1-3 years,2,Under 1 year,Energy/Mining,Small,35000.0,Other
34,35-39,Woman,Russia,I prefer not to answer,1-3 years,2,No experience,Academics/Education,Small,500.0,Data Scientist
37,18-21,Man,Russia,Bachelor’s degree,3-5 years,2,Under 1 year,Computers/Technology,No team,500.0,Data Engineer
39,40-44,Man,Russia,Doctoral degree,1-3 years,4,1-2 years,Accounting/Finance,Medium,500.0,Data Engineer
43,40-44,Man,UK,Master’s degree,20+ years,2,Under 1 year,Online Service/Internet-based Services,Small,55000.0,Other
47,40-44,Man,France,Doctoral degree,3-5 years,3,2-3 years,Manufacturing/Fabrication,Small,3500.0,Data Scientist
61,40-44,Man,Italy,Master’s degree,20+ years,4,3-4 years,Non-profit/Service,No team,45000.0,Data Engineer
66,35-39,Man,France,Doctoral degree,10-20 years,4,No experience,Online Service/Internet-based Services,No team,27500.0,Data Engineer
70,45-49,Man,Poland,Master’s degree,1-3 years,1,1-2 years,Insurance/Risk Assessment,Large,55000.0,Other
74,30-34,Man,Poland,Master’s degree,20+ years,2,5-10 years,Medical/Pharmaceutical,Large,35000.0,Data Scientist
75,40-44,Man,France,Doctoral degree,5-10 years,4,No experience,Academics/Education,Small,45000.0,Data Scientist
78,30-34,Man,Sweden,Doctoral degree,5-10 years,2,Under 1 year,Academics/Education,No team,55000.0,Data Scientist
87,40-44,Man,UK,Bachelor’s degree,10-20 years,3,2-3 years,Non-profit/Service,Large,85000.0,Data Engineer
92,30-34,Man,Spain,Some college,< 1 years,2,No experience,Computers/Technology,Small,27500.0,Data Engineer
96,45-49,Man,Austria,Master’s degree,5-10 years,3,Under 1 year,Insurance/Risk Assessment,Small,137500.0,Data Analyst
110,30-34,Woman,Sweden,Doctoral degree,5-10 years,2,4-5 years,Marketing/CRM,Medium,65000.0,Data Scientist
112,40-44,Man,Russia,Bachelor’s degree,1-3 years,1,Under 1 year,Shipping/Transportation,Small,27500.0,Data Analyst
115,30-34,Man,Russia,Bachelor’s degree,5-10 years,3,No experience,Broadcasting/Communications,No team,17500.0,Data Engineer
118,22-24,Man,France,Master’s degree,3-5 years,1,1-2 years,Manufacturing/Fabrication,Large,12500.0,Data Scientist
120,35-39,Woman,Ireland,Doctoral degree,10-20 years,1,4-5 years,Academics/Education,Small,65000.0,Data Scientist
126,45-49,Man,Portugal,High school,< 1 years,1,Under 1 year,Other,Small,12500.0,Other
