,country,experience_ml,age,role_group,gender,salary_avg
0,10,4,4,0,0,103.06289000048194
1,14,1,7,2,0,53.32961628929493
2,6,0,2,1,1,141.71828898488442
3,5,0,2,3,0,156.15953479311986
4,0,0,0,1,0,27.02080847004485
5,0,1,5,1,0,27.02080847004485
6,1,0,5,3,0,187.2326310891366
7,4,2,5,0,0,61.283233089426346
8,5,3,5,1,0,172.7492065931607
9,6,1,6,3,0,187.2326310891366
10,6,5,3,0,0,156.15953479311986
11,12,0,3,0,0,187.2326310891366
12,1,2,5,1,0,222.8988288144251
13,18,0,6,2,0,270.14982462478054
14,12,4,3,0,1,200.19851193256022
15,0,0,5,2,0,141.71828898488442
16,4,1,1,0,0,103.06289000048194
17,11,4,4,0,1,200.19851193256022
18,9,0,6,3,0,103.06289000048194
19,4,0,4,0,0,200.19851193256022
20,2,1,2,1,0,156.15953479311986
21,8,3,1,2,0,27.02080847004485
22,17,5,3,0,0,249.33775301859075
23,3,0,6,2,0,249.33775301859075
24,3,3,2,0,2,187.2326310891366
25,1,2,3,1,0,212.00749960243928
26,12,2,4,0,0,67.95421998648453
27,0,1,6,2,0,27.02080847004485
28,5,0,2,2,1,43.10818354904701
29,9,1,7,0,0,141.71828898488442
30,7,7,8,0,0,212.00749960243928
31,2,1,7,2,0,200.19851193256022
32,10,5,4,0,0,118.09813614437608
33,0,0,2,0,0,118.09813614437608
34,1,0,3,2,1,130.7087424308525
35,18,3,2,0,0,233.04048883648673
36,0,0,1,1,0,61.283233089426346
37,12,1,8,2,0,212.00749960243928
38,5,0,3,1,1,53.32961628929493
39,5,2,6,0,0,172.7492065931607
40,0,3,2,0,0,67.95421998648453
41,5,1,9,2,0,172.7492065931607
42,3,0,1,1,0,27.02080847004485
43,5,0,3,1,0,156.15953479311986
44,0,3,9,0,0,43.10818354904701
45,1,2,3,0,1,118.09813614437608
46,0,0,3,2,0,118.09813614437608
47,2,2,1,0,0,141.71828898488442
48,1,0,5,2,0,172.7492065931607
49,0,0,3,2,0,156.15953479311986
50,2,3,1,1,0,141.71828898488442
51,14,3,5,2,0,53.32961628929493
52,4,7,9,0,0,222.8988288144251
53,3,5,4,0,0,249.33775301859075
54,2,5,4,3,0,212.00749960243928
55,2,5,6,0,0,249.33775301859075
56,4,1,3,2,0,141.71828898488442
57,9,6,5,0,0,130.7087424308525
58,0,1,2,0,0,103.06289000048194
59,0,0,2,2,0,130.7087424308525
60,5,1,8,2,0,200.19851193256022
61,10,0,6,2,0,118.09813614437608
62,5,4,6,2,0,200.19851193256022
63,3,0,4,2,1,172.7492065931607
64,2,4,7,0,0,27.02080847004485
65,4,0,3,3,0,172.7492065931607
66,1,2,9,0,1,212.00749960243928
67,7,3,3,0,0,200.19851193256022
68,15,0,2,1,1,43.10818354904701
69,1,0,3,2,1,270.14982462478054
70,0,1,0,1,0,27.02080847004485
71,4,1,5,3,0,53.32961628929493
72,2,5,8,1,0,187.2326310891366
73,17,0,2,1,0,53.32961628929493
74,0,4,3,2,1,172.7492065931607
75,0,1,2,1,0,130.7087424308525
76,8,2,1,1,1,130.7087424308525
77,11,0,6,3,0,130.7087424308525
78,4,5,2,1,0,212.00749960243928
79,2,7,6,0,0,187.2326310891366
80,11,0,2,1,0,156.15953479311986
81,3,0,4,2,0,187.2326310891366
82,5,3,4,0,0,156.15953479311986
83,3,1,4,3,1,200.19851193256022
84,4,2,4,0,1,233.04048883648673
85,1,1,1,3,0,172.7492065931607
86,9,5,7,0,0,187.2326310891366
87,0,6,5,0,0,43.10818354904701
88,1,4,1,1,0,200.19851193256022
89,4,6,5,1,1,200.19851193256022
90,7,4,3,0,1,200.19851193256022
91,0,2,1,1,0,103.06289000048194
92,3,2,3,0,0,222.8988288144251
93,3,0,2,2,1,187.2326310891366
94,0,0,4,2,0,118.09813614437608
95,3,1,3,0,0,200.19851193256022
96,10,3,1,1,0,141.71828898488442
97,2,3,4,0,1,172.7492065931607
98,14,3,7,1,0,27.02080847004485
99,7,4,9,0,2,222.8988288144251
100,2,0,7,2,0,200.19851193256022
101,1,2,4,0,0,233.04048883648673
102,3,0,9,1,2,249.33775301859075
103,0,4,2,1,0,233.04048883648673
104,6,1,6,1,0,233.04048883648673
105,3,4,2,0,0,200.19851193256022
106,3,0,5,2,0,89.16583905874286
107,7,0,3,0,1,156.15953479311986
108,5,0,7,2,0,187.2326310891366
109,6,2,1,0,0,172.7492065931607
110,9,4,3,1,0,200.19851193256022
111,1,6,8,0,0,233.04048883648673
112,3,3,8,1,0,233.04048883648673
113,6,0,1,1,0,172.7492065931607
114,3,0,3,2,1,200.19851193256022
115,7,7,8,0,0,249.33775301859075
116,2,5,5,0,0,200.19851193256022
117,0,0,3,2,1,89.16583905874286
118,1,0,7,2,0,172.7492065931607
119,4,4,3,2,0,249.33775301859075
120,2,7,9,3,0,249.33775301859075
121,4,2,1,0,1,212.00749960243928
122,2,1,6,2,0,200.19851193256022
123,0,2,0,1,0,27.02080847004485
124,4,2,2,2,0,249.33775301859075
125,18,4,3,0,0,103.06289000048194
126,12,0,3,3,0,187.2326310891366
127,11,0,7,3,0,249.33775301859075
128,18,2,3,1,0,187.2326310891366
129,3,4,3,0,0,156.15953479311986
130,8,0,4,1,0,43.10818354904701
131,1,0,3,2,0,156.15953479311986
132,2,4,2,0,0,200.19851193256022
133,14,1,2,0,0,141.71828898488442
134,10,1,1,1,0,118.09813614437608
135,1,1,1,0,0,156.15953479311986
136,14,1,1,1,0,27.02080847004485
137,3,1,4,3,0,233.04048883648673
138,4,0,3,0,0,118.09813614437608
139,4,2,9,0,0,222.8988288144251
140,3,3,5,0,0,222.8988288144251
141,2,3,6,1,0,270.14982462478054
142,2,3,8,0,0,187.2326310891366
143,0,0,1,1,0,103.06289000048194
144,0,3,2,1,0,172.7492065931607
145,3,5,8,1,0,156.15953479311986
146,3,6,7,0,0,200.19851193256022
147,1,1,2,0,0,187.2326310891366
148,0,5,6,2,0,249.33775301859075
149,2,1,2,0,0,172.7492065931607
150,3,4,2,0,0,249.33775301859075
151,12,4,6,0,0,249.33775301859075
152,2,5,2,0,0,130.7087424308525
153,17,0,4,0,0,212.00749960243928
154,2,0,6,1,0,172.7492065931607
155,0,1,6,2,0,187.2326310891366
156,1,1,1,2,0,172.7492065931607
157,2,1,2,0,0,156.15953479311986
158,2,1,7,1,0,172.7492065931607
159,7,2,2,0,0,200.19851193256022
160,7,3,5,0,0,212.00749960243928
161,0,0,3,1,0,172.7492065931607
162,4,0,5,2,0,27.02080847004485
163,7,7,8,0,0,249.33775301859075
164,4,5,4,0,0,141.71828898488442
165,5,2,7,1,0,156.15953479311986
166,4,0,4,2,0,156.15953479311986
167,4,0,3,3,0,141.71828898488442
168,4,0,4,2,0,187.2326310891366
169,0,1,2,0,0,27.02080847004485
170,1,0,6,0,1,141.71828898488442
171,11,2,1,1,0,172.7492065931607
172,1,1,7,0,0,270.14982462478054
173,2,0,5,1,0,200.19851193256022
174,2,6,6,2,0,187.2326310891366
175,17,6,6,2,0,270.14982462478054
176,2,2,6,2,0,172.7492065931607
177,3,0,2,0,0,187.2326310891366
178,2,2,2,2,0,141.71828898488442
179,5,3,3,1,0,172.7492065931607
180,0,1,7,2,0,103.06289000048194
181,3,7,6,1,0,53.32961628929493
182,6,0,1,2,0,103.06289000048194
183,3,2,3,0,0,222.8988288144251
184,0,1,4,2,0,270.14982462478054
185,5,5,4,1,0,187.2326310891366
186,3,5,8,0,0,249.33775301859075
187,3,2,5,1,0,200.19851193256022
188,11,0,3,0,1,172.7492065931607
189,2,0,6,1,0,43.10818354904701
190,2,5,4,0,0,200.19851193256022
191,5,0,8,3,0,27.02080847004485
192,0,0,1,2,1,43.10818354904701
193,1,7,6,0,0,270.14982462478054
194,0,2,2,0,0,156.15953479311986
195,5,1,2,0,0,43.10818354904701
196,2,5,4,0,0,43.10818354904701
197,11,3,5,1,0,172.7492065931607
198,0,0,1,0,0,27.02080847004485
199,2,3,6,0,0,187.2326310891366
200,4,0,3,0,0,156.15953479311986
201,0,1,0,1,0,222.8988288144251
202,0,0,5,3,0,130.7087424308525
203,3,0,7,1,0,249.33775301859075
204,2,2,2,0,0,118.09813614437608
205,1,0,3,1,0,222.8988288144251
206,0,0,4,1,0,118.09813614437608
207,6,4,3,0,0,200.19851193256022
208,4,1,3,2,0,187.2326310891366
209,0,0,4,1,0,89.16583905874286
210,0,0,1,0,0,233.04048883648673
211,0,5,3,1,0,172.7492065931607
212,15,0,1,1,1,43.10818354904701
213,5,7,9,0,0,27.02080847004485
214,5,2,5,1,0,156.15953479311986
215,1,1,2,2,0,187.2326310891366
216,1,3,6,2,0,187.2326310891366
217,1,0,6,3,0,249.33775301859075
218,6,0,1,2,0,118.09813614437608
219,2,5,7,3,0,187.2326310891366
220,6,3,3,1,0,270.14982462478054
221,0,1,0,0,0,27.02080847004485
222,3,1,9,1,0,61.283233089426346
223,7,4,3,0,0,212.00749960243928
224,1,1,4,1,1,222.8988288144251
225,0,0,1,3,0,67.95421998648453
226,6,0,0,1,0,27.02080847004485
227,4,1,3,2,0,156.15953479311986
228,17,1,1,0,0,118.09813614437608
229,19,1,1,1,0,103.06289000048194
230,13,3,4,0,0,233.04048883648673
231,0,4,3,0,0,141.71828898488442
232,5,0,2,1,0,141.71828898488442
233,6,1,4,1,0,130.7087424308525
234,7,4,4,0,0,200.19851193256022
235,9,1,4,1,0,172.7492065931607
236,12,0,5,0,0,61.283233089426346
237,8,1,6,2,0,130.7087424308525
238,14,2,3,0,0,212.00749960243928
239,4,2,3,3,0,249.33775301859075
240,2,3,1,0,0,103.06289000048194
241,8,6,5,0,0,61.283233089426346
242,19,0,2,3,0,103.06289000048194
243,15,5,3,1,0,187.2326310891366
244,7,5,2,2,0,187.2326310891366
245,3,5,3,1,0,212.00749960243928
246,0,0,2,2,0,141.71828898488442
247,1,5,3,0,0,222.8988288144251
248,6,2,2,0,0,200.19851193256022
249,6,0,2,2,1,27.02080847004485
250,2,2,3,0,0,130.7087424308525
251,16,4,2,0,0,141.71828898488442
252,0,0,6,0,0,27.02080847004485
253,0,2,7,2,0,89.16583905874286
254,2,6,5,2,0,130.7087424308525
255,5,5,8,1,0,249.33775301859075
256,1,4,6,0,0,222.8988288144251
257,5,3,8,2,0,156.15953479311986
258,9,2,6,2,0,200.19851193256022
259,16,1,5,0,1,141.71828898488442
260,4,0,5,3,0,187.2326310891366
261,16,0,1,1,1,130.7087424308525
262,7,5,7,1,0,172.7492065931607
263,4,0,6,3,0,200.19851193256022
264,9,5,4,2,0,212.00749960243928
265,0,1,0,1,0,27.02080847004485
266,3,0,2,0,0,130.7087424308525
267,5,2,2,0,0,156.15953479311986
268,13,5,3,0,0,249.33775301859075
269,14,3,5,1,0,53.32961628929493
270,12,5,3,3,0,141.71828898488442
271,8,0,3,1,0,53.32961628929493
272,16,3,5,1,0,212.00749960243928
273,3,0,4,2,0,270.14982462478054
274,2,1,6,1,0,187.2326310891366
275,6,0,2,2,2,43.10818354904701
276,5,2,2,0,0,141.71828898488442
277,19,2,2,0,0,77.73682636782002
278,1,0,8,1,0,200.19851193256022
279,0,0,2,0,0,103.06289000048194
280,1,0,3,2,0,103.06289000048194
281,15,0,1,2,0,141.71828898488442
282,11,2,2,1,0,172.7492065931607
283,3,6,5,2,0,249.33775301859075
284,5,5,6,0,0,156.15953479311986
285,4,0,5,0,0,43.10818354904701
286,6,0,2,2,0,103.06289000048194
287,1,0,6,3,0,249.33775301859075
288,7,0,2,3,0,172.7492065931607
289,3,5,5,3,0,200.19851193256022
290,16,5,3,1,0,172.7492065931607
291,1,3,5,0,0,212.00749960243928
292,12,2,4,3,0,212.00749960243928
293,3,1,5,2,0,222.8988288144251
294,15,1,1,1,0,118.09813614437608
295,9,1,2,1,1,27.02080847004485
296,1,1,7,2,0,187.2326310891366
297,0,0,3,1,0,103.06289000048194
298,3,0,3,2,1,200.19851193256022
299,2,5,4,0,1,200.19851193256022
300,1,1,4,1,0,212.00749960243928
301,1,2,1,3,0,222.8988288144251
302,3,2,4,1,1,249.33775301859075
303,12,3,3,0,0,156.15953479311986
304,1,3,5,0,0,249.33775301859075
305,9,4,2,0,0,103.06289000048194
306,5,5,5,0,0,172.7492065931607
307,7,1,2,2,0,200.19851193256022
308,0,1,3,1,0,141.71828898488442
309,3,0,5,1,0,249.33775301859075
310,19,0,0,1,0,77.73682636782002
311,2,0,3,3,0,156.15953479311986
312,7,3,3,0,0,212.00749960243928
313,5,1,2,0,0,43.10818354904701
314,8,0,1,1,0,53.32961628929493
315,0,2,4,1,0,156.15953479311986
316,8,3,3,1,1,61.283233089426346
317,4,6,6,0,0,172.7492065931607
318,3,0,3,0,0,200.19851193256022
319,3,0,5,1,1,187.2326310891366
320,5,2,2,0,0,43.10818354904701
321,12,3,4,1,0,156.15953479311986
